"country","naics","industry_name","year","GDP in Current Prices (Millions)","Cost of Capital (Millions)","Cost of ICT Capital (Millions)","Cost of non-ICT Capital (Millions)","Cost of Labour (Millions)","Hours Worked (Millions)","Quantity Index of GDP","Quantity Index of Capital Services","Quantity Index of ICT Capital Services","Quantity Index of Non-ICT Capital","Quantity Index of Labour","Quantity Index of Hours Worked","Total Cost of Capital and Labour (Millions)","Index of Multifactor Productivity","Index of Labour Productivity","Index of Capital Productivity","Index of Capital Intensity","Index of ICT Capital Intensity","Index of non-ICT Capital Intensity","Index of Labour Composition","Contribution of Capital Intensity","Contribution of ICT Capital Intensity","Contribution of non-ICT Capital Intensity","Contribution of Labour Composition"
"United States","21","Mining, oil and gas extraction",1963,9950.71903553992,4762.08507320472,2.70586628597531,4757.83274428567,5288.71101237768,317.190581044221,59.773978401421,46.8950326237205,0.604257596148465,48.3102371224361,97.1442227934402,123.564601285297,10050.7960855824,71.6238711760994,41.3717549180842,109.011213233282,37.9518342113573,0.00489021604782508,0.390971496852025,0.786181655449567,63.3189156894006,100,64.7493695519175,91.2247504094835
"United States","21","Mining, oil and gas extraction",1964,10303.8936802771,4802.90897026686,2.59829833031002,4798.74586569948,5619.91372747226,316.855690235389,57.8774404355674,48.2511383400302,0.604257596148465,49.7080057296053,97.4455473788567,123.433974534785,10422.8226977391,68.3207920655218,40.1014851073658,102.585884226552,39.0906462518813,0.00489539122778694,0.402709269607104,0.789454829969809,64.1998028675684,100.00002742165,65.6498140220242,91.4268736551089
"United States","21","Mining, oil and gas extraction",1965,10464.08695415,5231.78445605615,2.71719309119343,5227.35832749036,5310.8061198402,322.37152680895,59.474488430531,49.8946117790104,0.604257596148465,51.4019624453652,97.9212770380447,125.564191591654,10542.5905758963,68.9145005968009,40.508929202519,101.944293505809,39.7363381602236,0.00481234011455724,0.409368003678383,0.779850336284519,64.7050875360379,99.9995936450224,66.1665969890319,90.8451446965111
"United States","21","Mining, oil and gas extraction",1966,11077.6927692769,5027.99029924146,2.52641728920712,5023.81821122268,6193.74729624538,322.26339698892,61.5966479227374,51.7865652882522,0.604257596148465,53.352037149355,98.9004981298222,125.522060594872,11221.7375954868,69.762860768848,41.9684443657645,101.72456094413,41.2569432359749,0.00481395535800463,0.425041119437572,0.787913277244771,65.8626050830804,99.9996017473177,67.3498326605729,91.3397220508525
"United States","21","Mining, oil and gas extraction",1967,11290.3469983362,4947.33996785558,2.52319844396142,4943.19894673607,6510.96196166435,311.903233985919,61.5290893287445,53.4379673126489,0.604257596148465,55.0542255275655,97.9950758279474,121.420828528944,11458.3019295199,69.0856007335378,43.338427417594,98.472828006319,44.010544121687,0.0049765563574986,0.453416651776855,0.807069734370882,67.7614581340666,100.000341441647,69.2904009368668,92.5769497049611
"United States","21","Mining, oil and gas extraction",1968,12073.5141150479,5991.28691401738,2.74034462401111,5986.57510394078,6178.197029308,309.975874718071,64.5423389596161,54.679119851618,0.604257596148465,56.3334904186627,95.7464200211429,120.668198992318,12169.4839433254,72.6052356981776,45.7443775154976,100.950630950151,45.3136122924143,0.00500759604597176,0.46684620214021,0.793468542836529,68.6811802509254,100.000479909355,70.2304381399144,91.7343594651977
"United States","21","Mining, oil and gas extraction",1969,12684.3095218613,5494.32744342668,2.47560876918745,5490.04244043281,7386.29232895,319.760435265425,63.8784679192928,56.1669663217879,0.604257596148465,57.8670266959336,98.567921059569,124.41830583109,12880.6197723767,69.8719397500044,43.909254243377,97.2656239250783,45.1436514479148,0.00485666150259917,0.465100583948585,0.792230053296052,68.5627052257252,99.9998412217967,70.1097601028558,91.6569319916233
"United States","21","Mining, oil and gas extraction",1970,14116.680959005,6701.30250403577,2.56028808762079,6696.51748080803,7563.85570602888,319.683588071816,63.6004961234568,57.31512514044,0.604257596148465,59.050395564874,99.6497404421685,124.388300393453,14265.1582100647,68.5258149321357,43.7287258044333,94.9023816637699,46.07758523844,0.00485783304568948,0.474726283565992,0.801118273398432,69.1948011108385,99.9998457040926,70.7558802108687,92.2229793503417
"United States","21","Mining, oil and gas extraction",1971,14294.6734855304,6574.38380289871,2.58454694036137,6569.61948565738,7895.87050293243,309.137199634627,60.7002968236345,58.5821100515958,0.604257596148465,60.3562428722343,94.9409191873609,120.215846624808,14470.2543058311,66.451702055722,43.18321262057,88.6159010078109,48.7307719376048,0.00502643880248455,0.50206561419981,0.789753779164159,71.0080547105522,100.000456592697,72.6089705273397,91.5168839048943
"United States","21","Mining, oil and gas extraction",1972,14942.9410031912,6087.67912496107,2.47451259678055,6083.18937376949,9132.47712312183,315.435888574509,61.6164480886228,60.0299208231225,0.604257596148465,61.8484903079295,97.6761250245983,122.640821055,15220.1562480829,65.6775429192655,42.9682299288103,87.783873866439,48.9477486425188,0.00492705113151093,0.504305905455353,0.796440566724471,71.1429358862977,100.000115892766,72.747088200655,91.9599619710991
"United States","21","Mining, oil and gas extraction",1973,17954.7619125549,7907.59884620116,2.51457212449489,7902.43936154051,10309.4881225274,322.761656899754,62.6608175428559,61.4734019985038,0.604257596148465,63.3361872093595,99.2579575397142,125.456572319746,18217.0869687286,65.5157093299635,42.7157948709684,87.1755431488162,48.9997461765725,0.00481646824056708,0.504845509790727,0.7911738357297,71.1744430899112,99.9997746989571,72.7795163989527,91.6049553125993
